Year,Country,GDP_pc,Population,polity2,GDP_USD,Trade,Log_GDP_pc,Colonised,Colonial_period,Post_colonial,Interaction_Colonial,Interaction_Post,Institutions,Log_Population
1820,Myanmar,803.0,3506.0,,,0.0,6.688354713946762,1,0,0,0,0,,8.16223106548118
1820,Thailand,909.0,4665.0,-10.0,,0.0,6.812345094177479,0,0,0,0,0,-10.0,8.447843113281444
1821,Myanmar,803.0,3520.2,,,0.0,6.688354713946762,1,0,0,0,0,,8.166273085159869
1821,Thailand,910.2,4683.833333333333,-10.0,,0.0,6.813664355582541,0,0,0,0,0,-10.0,8.451872141961008
1822,Myanmar,803.0,3534.4,,,0.0,6.688354713946762,1,0,0,0,0,,8.170298832665853
1822,Thailand,911.4,4702.666666666667,-10.0,,0.0,6.814981878829782,0,0,0,0,0,-10.0,8.455885002687832
1823,Myanmar,803.0,3548.6,,,0.0,6.688354713946762,1,0,0,0,0,,8.17430843848948
1823,Thailand,912.6,4721.5,-10.0,,0.0,6.816297668493302,0,0,0,0,0,-10.0,8.459881824703125
1824,Myanmar,803.0,3562.8,,,0.0,6.688354713946762,1,1,0,1,0,,8.178302031557715
1824,Thailand,913.8,4740.333333333333,-10.0,,0.0,6.817611729129171,0,1,0,0,0,-10.0,8.463862735704586
1825,Myanmar,803.0,3577.0,,,0.0,6.688354713946762,1,1,0,1,0,,8.182279739259018
1825,Thailand,915.0,4759.166666666667,-10.0,,0.0,6.818924065275521,0,1,0,0,0,-10.0,8.467827861870909
1826,Myanmar,,3591.2,,,0.0,,1,1,0,1,0,,8.186241687467723
1826,Thailand,,4778.0,-10.0,,0.0,,0,1,0,0,0,-10.0,8.471777327885755
1827,Myanmar,,3605.4,,,0.0,,1,1,0,1,0,,8.190188000567938
1827,Thailand,,4796.833333333333,-10.0,,0.0,,0,1,0,0,0,-10.0,8.475711256961297
1828,Myanmar,,3619.6,,,0.0,,1,1,0,1,0,,8.194118801476979
1828,Thailand,,4815.666666666667,-10.0,,0.0,,0,1,0,0,0,-10.0,8.479629770861271
1829,Myanmar,,3633.8,,,0.0,,1,1,0,1,0,,8.19803421166834
1829,Thailand,,4834.5,-10.0,,0.0,,0,1,0,0,0,-10.0,8.483532989923603
1830,Myanmar,,3648.0,,,0.0,,1,1,0,1,0,,8.201934351194222
1830,Thailand,,4853.333333333333,-10.0,,0.0,,0,1,0,0,0,-10.0,8.487421033082567
1831,Myanmar,,3662.2,,,0.0,,1,1,0,1,0,,8.205819338707613
1831,Thailand,,4872.166666666667,-10.0,,0.0,,0,1,0,0,0,-10.0,8.49129401789055
1832,Myanmar,,3676.4,,,0.0,,1,1,0,1,0,,8.209689291483954
1832,Thailand,,4891.0,-10.0,,0.0,,0,1,0,0,0,-10.0,8.495152060539358
1833,Myanmar,,3690.6,,,0.0,,1,1,0,1,0,,8.213544325442378
1833,Thailand,,4909.833333333333,-10.0,,0.0,,0,1,0,0,0,-10.0,8.498995275881148
1834,Myanmar,,3704.8,,,0.0,,1,1,0,1,0,,8.217384555166543
1834,Thailand,,4928.666666666667,-10.0,,0.0,,0,1,0,0,0,-10.0,8.502823777448937
1835,Myanmar,,3719.0,,,0.0,,1,1,0,1,0,,8.22121009392507
