Year,Burma_exports,Siam_exports
1860,106,64
1861,143,83
1862,104,44
1863,318,114
1864,423,160
1865,527,3
1866,479,99
1867,278,122
1868,354,139
1869,500,180
1870,370,172
1871,493,124
1872,546,135
1873,806,58
1874,910,133
1875,751,261
1876,809,281
1877,795,207
1878,650,158
1879,725,269
1880,816,230
1881,941,249
1882,1050,223
1883,1194,176
1884,951,316
1885,759,247
1886,1078,242
1887,1028,442
1888,1007,504
1889,796,339
1890,1027,539
1891,1381,253
1892,1279,238
1893,1039,887
1894,886,588
1895,1282,548
1896,1382,536
1897,1085,667
1898,1118,618
1899,1451,510
1900,1215,465
1901,1201,767
1902,1360,895
1903,2411,656
1904,2411,947
1905,2411,451
1906,2411,967
1907,2411,963
1908,2411,891
1909,2411,1028
1910,2411,1067
1911,2411,1173
1912,2411,703
1913,2411,659
1914,2411,1315
